UM_ID_UM,REGION_OFC,SUBREG,PROVINCIA,MEDIA_ALTURA_UM_EST,SUMA_DAP_X_UM,AREA_BASAL_UM_HA,VOL_M3_HA,CANTIDAD_IND_VIVOS_UM,CANTIDAD_IND_VIVOS_HA,PORCENTAJE_COB_3,PORCENTAJE_COB_7,PORCENTAJE_COB_TOTAL,PORCENTAJE_COB_ARBUSTIVA,PORCENTAJE_COB_INFERIOR,MEDIA_ALT_TOCONES,MEDIA_DAB_TOCONES,CANTIDAD_TOCONES_X_UM,CANTIDAD_TOCONES_X_HA,REGENERACION_UM,REGENERACION_HA,LONGITUD_GRILLA,LATITUD_GRILLA,LONGITUD_INSTALACION,LATITUD_INSTALACION,ALTITUD,PENDIENTE_CATEGORIA,EXPOSICION,OTBN_CATEGORIA,FECHA_UM_ANIO,FECHA_UM_MES,TIPO_PAISAJE,SALINIDAD_PRESENCIA,INCENDIOS_RASTROS,PASTOREO_PRESENCIA,GANADO_BOVINO,GANADO_OVINO,GANADO_CAPRINO,GANADO_EQUINO,GANADO_OTRO,GANADO_OTRO_TIPO,EROSION_PRESENCIA,EROSION_FISICA_PRESENCIA,EROSION_EOLICA_PRESENCIA,EROSION_HIDRICA_PRESENCIA,PFNM_PRESENCIA_RESUMEN,PFNM_REGISTRO_1,PFNM_REGISTRO_2,PFNM_REGISTRO_3,PFNM_REGISTRO_4,PFNM_REGISTRO_5,FORMAS_HELECHOS,FORMAS_CACTACEAS,FORMAS_EPIFITAS,FORMAS_BRIOFITAS,FORMAS_LIANAS,FORMAS_ORQUIDEAS,FORMAS_GRAMINEAS,FORMAS_OTRAS,Ley_N1_06,Ley_N2_06,PRESENTA_IND_INVENTARIABLE
6074195,MON,Monte,6,3.47142857142857,0.914532146380811,1.56087211414202,1.7285891129,14,257.2,42.2535211267606,0,42.2535211267606,15.4929577464789,100,NA,NA,0,0,11,2200,-63.273611,-39.366332,-63.2736388888889,-39.3663333333333,41,sin_pendiente,NA,sin_categoria,2020,1,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Bosque mixto,SI
6075190,ESP,Distrito del Caldén,6,5.45,0.665792695,2.92856691353218,13.00181596,2,49.3,35.2112676056338,0,35.2112676056338,23.943661971831,76.056338028169,NA,NA,0,0,2,400,-63.156572,-38.916172,-63.1565833333333,-38.9161944444444,26,sin_pendiente,NA,sin_categoria,2020,1,duna,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosques de caldén abierto con arbustos,SI
6076186,ESP,Distrito del Caldén,6,3.89714285714286,4.097999464,6.86625210172035,44.52199803,35,877.4,36.6197183098592,0,36.6197183098592,100,0,NA,NA,0,0,54,10800,-63.041063,-38.555943,-63.0410555555556,-38.5559444444444,14,sin_pendiente,NA,sin_categoria,2020,1,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,Condalia microphylla_Lycium chilense,Condalia microphylla,Lycium chilense,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosques de caldén abierto con arbustos,SI
6076194,ESP,Distrito del Caldén,6,3.87142857142857,0.757,1.05314856544054,1.634049451,7,157.9,4.22535211267606,0,4.22535211267606,43.6619718309859,83.0985915492958,NA,NA,0,0,0,0,-63.04148,-39.276574,-63.0415,-39.2765555555556,32,sin_pendiente,NA,sin_categoria,2020,1,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI
6078191,ESP,Distrito del Caldén,6,3.67894736842105,2.673305306,8.93725406971821,31.87103178,19,570.9,42.2535211267606,0,42.2535211267606,22.5352112676056,100,NA,NA,0,0,6,1200,-62.810425,-39.006201,-62.8104166666667,-39.0062222222222,30,sin_pendiente,NA,sin_categoria,2020,1,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,Condalia microphylla_Lycium chilense,Condalia microphylla,Lycium chilense,sin registro,sin registro,sin registro,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI
6078195,ESP,Distrito del Caldén,6,3.11818181818182,3.407420012,8.39817044129276,13.86634957,44,1699.9,0,0,0,46.4788732394366,43.6619718309859,NA,NA,0,0,15,3000,-62.809455,-39.366497,-62.8094722222222,-39.3665,20,sin_pendiente,NA,sin_categoria,2020,1,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,Condalia microphylla,Condalia microphylla,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI
10034073,MON,Monte,10,2.79333333333333,1.17202197713737,4.17691802142872,NA,15,179.3,2.8169014084507,0,2.8169014084507,42.2535211267606,0,45,16,1,10,1,200,-67.316072,-28.299535,-67.3160555555556,-28.2995277777778,1030,sin_pendiente,NA,I,2019,12,duna,ausencia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTF,Estepa arbustiva,SI
10041070,MON,Monte,10,1.815,0.184,2.99509445474631,NA,20,405.1,11.2676056338028,0,11.2676056338028,33.8028169014084,0,NA,NA,0,0,4,800,-66.595016,-28.050055,-66.5950277777778,-28.0500555555556,779,sin_pendiente,NA,II,2019,12,duna,presencia fuerte,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OTF,Estepa arbustiva,SI
10042065,MON,Monte,10,4.13076923076923,0.475276226133043,1.55278636151003,0.5952860995,13,276.5,26.7605633802817,0,26.7605633802817,14.0845070422535,21.1267605633803,30,13.5,1,10,0,0,-66.479091,-27.602321,-66.4790833333333,-27.6023333333333,941,sin_pendiente,NA,sin_categoria,2019,12,llano,presencia,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Bosque de retamo,SI
10042067,MON,Monte,10,4.55652173913044,1.64972627015498,6.6090672684458,5.8397999399,23,347.2,28.169014084507,0,28.169014084507,70.4225352112676,2.8169014084507,56.04,25.52,5,50,2,400,-66.484813,-27.782468,-66.4848055555556,-27.7824722222222,788,sin_pendiente,NA,I,2019,12,llano,presencia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de algarrobos,SI
