UM_ID_UM,REGION_OFC,SUBREG,PROVINCIA,MEDIA_ALTURA_UM_EST,SUMA_DAP_X_UM,AREA_BASAL_UM_HA,VOL_M3_HA,BIOMASA_TN_HA,CARBONO_TN_HA,BIOMASA_KG_HA,CARBONO_KG_HA,CANTIDAD_IND_VIVOS_UM,CANTIDAD_IND_VIVOS_HA,PORCENTAJE_COB_3,PORCENTAJE_COB_7,PORCENTAJE_COB_TOTAL,PORCENTAJE_COB_ARBUSTIVA,PORCENTAJE_COB_INFERIOR,MEDIA_ALT_TOCONES,MEDIA_DAB_TOCONES,CANTIDAD_TOCONES_X_UM,CANTIDAD_TOCONES_X_HA,REGENERACION_UM,REGENERACION_HA,LONGITUD_GRILLA,LATITUD_GRILLA,LONGITUD_INSTALACION,LATITUD_INSTALACION,ALTITUD,PENDIENTE_CATEGORIA,EXPOSICION,OTBN_CATEGORIA,FECHA_UM_ANIO,FECHA_UM_MES,DURACION_RELEVAMIENTO_SEGUNDOS,JEFE_BRIGADA,NO_PERSONAS_BRIGADA,INSTRUMENTAL_DIAMETROS,INSTRUMENTAL_ALTURAS,DATOS_REFERENCIA,OBSERVACIONES_UM,TIPO_PAISAJE,SALINIDAD_PRESENCIA,INCENDIOS_RASTROS,PASTOREO_PRESENCIA,GANADO_BOVINO,GANADO_OVINO,GANADO_CAPRINO,GANADO_EQUINO,GANADO_OTRO,GANADO_OTRO_TIPO,EROSION_PRESENCIA,EROSION_FISICA_PRESENCIA,EROSION_EOLICA_PRESENCIA,EROSION_HIDRICA_PRESENCIA,MATERIAL_CAIDO_TRANSECTA_NORTE_FINO,MATERIAL_CAIDO_TRANSECTA_NORTE_MEDIANO,MATERIAL_CAIDO_TRANSECTA_SUR_FINO,MATERIAL_CAIDO_TRANSECTA_SUR_MEDIANO,PFNM_PRESENCIA_RESUMEN,PFNM_REGISTRO_1,PFNM_REGISTRO_2,PFNM_REGISTRO_3,PFNM_REGISTRO_4,PFNM_REGISTRO_5,FORMAS_HELECHOS,FORMAS_CACTACEAS,FORMAS_EPIFITAS,FORMAS_BRIOFITAS,FORMAS_LIANAS,FORMAS_ORQUIDEAS,FORMAS_GRAMINEAS,FORMAS_OTRAS,Ley_N1_06,Ley_N2_06,PRESENTA_IND_INVENTARIABLE,CUENCA_FORESTAL
6074195,MON,Monte,6,3.471428571,0.914532146,1.560872114,1.728589113,2.94130768,1.411827686,2941.30768,1411.827686,14,257.2,42.25352113,0,42.25352113,15.49295775,100,NA,NA,0,0,11,2200,-63273611,-39366332,-6327363889,-3936633333,41,sin_pendiente,NA,sin_categoria,2020,1,7800,Emiliano Blanc,3,forcipula,vara,"la parcela se encuentra dentro de el establecimiento ""el progreso""",el bosque se quemo en 2016. hay un proceso de invasion de especies exoticas como tamarix sp y baccharis sacifolia,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,49,2,120,2,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Bosque mixto,SI,#N/A
6075190,ESP,Distrito del Caldén,6,5.45,0.665792695,2.928566914,13.00181596,10.31018176,4.948887243,10310.18176,4948.887243,2,49.3,35.21126761,0,35.21126761,23.94366197,76.05633803,NA,NA,0,0,2,400,-63156572,-38916172,-6315658333,-3891619444,26,sin_pendiente,NA,sin_categoria,2020,1,2400,Emiliano Blanc,3,forcipula,vara,la parcela se encuentra a 5 km de juan costue -  se llega por un camino vecinal,pasa un camino por la parcela -  entraron muy pocos arboles,duna,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,73,0,54,0,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosques de caldén abierto con arbustos,SI,#N/A
6076186,ESP,Distrito del Caldén,6,3.897142857,4.097999464,6.866252102,44.52199803,13.07864674,6.277750435,13078.64674,6277.750435,35,877.4,36.61971831,0,36.61971831,100,0,NA,NA,0,0,54,10800,-63041063,-38555943,-6304105556,-3855594444,14,sin_pendiente,NA,sin_categoria,2020,1,6000,Emiliano Blanc,3,forcipula,vara,de la rn 35 hay que tomar un camino de tierra aproximadamente 60 km. luego caminar 2 km,monte con abundantes renovales de chanar,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,63,0,105,5,Condalia microphylla_Lycium chilense,Condalia microphylla,Lycium chilense,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosques de caldén abierto con arbustos,SI,#N/A
6076194,ESP,Distrito del Caldén,6,3.871428571,0.757,1.053148565,1.634049451,1.986119635,0.953337425,1986.119635,953.3374249,7,157.9,4.225352113,0,4.225352113,43.66197183,83.09859155,NA,NA,0,0,0,0,-6304148,-39276574,-630415,-3927655556,32,sin_pendiente,NA,sin_categoria,2020,1,2700,Emiliano Blanc,3,forcipula,vara,"hay que entrar por la estancia ""el puma"" -  atravesarla y caminar 3.5 km por el campo vecino hasta la um",se observan signos de un incendio grande hace poco tiempo. la mayoria de los arboles estan quemados,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,27,0,31,0,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI,#N/A
6078191,ESP,Distrito del Caldén,6,3.678947368,2.673305306,8.93725407,31.87103178,15.76413129,7.566783018,15764.13129,7566.783018,19,570.9,42.25352113,0,42.25352113,22.53521127,100,NA,NA,0,0,6,1200,-62810425,-39006201,-6281041667,-3900622222,30,sin_pendiente,NA,sin_categoria,2020,1,6000,Emiliano Blanc,3,forcipula,vara,hay que dejar el vehiculo sobre el camino vecinal y caminar 900 metros,bosque de calden en buen estado de conservacion,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,15,0,35,0,Condalia microphylla_Lycium chilense,Condalia microphylla,Lycium chilense,sin registro,sin registro,sin registro,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI,#N/A
6078195,ESP,Distrito del Caldén,6,3.118181818,3.407420012,8.398170441,13.86634957,13.11994464,6.297573428,13119.94464,6297.573428,44,1699.9,0,0,0,46.47887324,43.66197183,NA,NA,0,0,15,3000,-62809455,-39366497,-6280947222,-393665,20,sin_pendiente,NA,sin_categoria,2020,1,6600,Emiliano Blanc,3,forcipula,vara,se llega desde pedro luro por un camino vecinal mejorado en muy buen estado. dentro del campo hay que caminar 3 km,monte muy denso de chanar,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,28,0,9,0,Condalia microphylla,Condalia microphylla,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,OTF,Formacion de otras especies arboreas,SI,#N/A
10034073,MON,Monte,10,2.793333333,1.172021977,4.176918021,NA,7.381162441,3.542957972,7381.162441,3542.957972,15,179.3,2.816901408,0,2.816901408,42.25352113,0,45,16,1,10,1,200,-67316072,-28299535,-6731605556,-2829952778,1030,sin_pendiente,NA,I,2019,12,9600,Ivan Suarez,3,forcipula,vara,se accede caminando desde la ruta. se llego en monto al punto de referencia desde la ruta y luego se continuo caminando.,es un paisaje de dunas activas -  muy degradado con monte residual por aprovechamento. #sin regeneracion en subparcela n -  e y o.,duna,ausencia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,10,0,15,1,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTF,Estepa arbustiva,SI,#N/A
10041070,MON,Monte,10,1.815,0.184,2.995094455,NA,2.972310051,1.426708825,2972.310051,1426.708825,20,405.1,11.26760563,0,11.26760563,33.8028169,0,NA,NA,0,0,4,800,-66595016,-28050055,-6659502778,-2805005556,779,sin_pendiente,NA,II,2019,12,7800,Ivan Suarez,3,forcipula,vara,se accede por la ruta prov. nº46 -  desde la localidad de saujil -  luego se continua en moto unos 45km por sendas abandonadas.,es un paisaje muy erosionado -  con vegetaciion muy empobrecida por antiguos desmontes y tambien por erosion. # sin regeneracion en subparcelas norte y este.,duna,presencia fuerte,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,7,0,11,2,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OTF,Estepa arbustiva,SI,#N/A
10042065,MON,Monte,10,4.130769231,0.475276226,1.552786362,0.5952861,4.053983992,1.945912316,4053.983992,1945.912316,13,276.5,26.76056338,0,26.76056338,14.08450704,21.12676056,30,13.5,1,10,0,0,-66479091,-27602321,-6647908333,-2760233333,941,sin_pendiente,NA,sin_categoria,2019,12,4200,Ivan Suarez,3,forcipula,vara,se accede por ruta prov. nº46 a 50m de la misma.,area alterada por desmonte en linea de alambrado. #sin regeneracion.,llano,presencia,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,3,0,9,0,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OTF,Bosque de retamo,SI,#N/A
10042067,MON,Monte,10,4.556521739,1.64972627,6.609067268,5.83979994,17.85631819,8.571032733,17856.31819,8571.032733,23,347.2,28.16901408,0,28.16901408,70.42253521,2.816901408,56.04,25.52,5,50,2,400,-66484813,-27782468,-6648480556,-2778247222,788,sin_pendiente,NA,I,2019,12,9600,Ivan Suarez,3,forcipula,clinometro,se accede en moto 40km. se podria acceder en camioneta -  pero es complicado.,se encontro una estaca de madera a 5m. #sin regeneracion en subparcelas sur y este.,llano,presencia,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,32,2,21,2,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de algarrobos,SI,#N/A
